REFERENCE_NUMBER,NUMBER_OF_VEHICLES,FULL_DATE,FULL_TIME,ROAD_CLASS,ROAD_SURFACE_CODE,LIGHTING_CODE,WEATHER_CODE,CASUALTY_NUMBER,CASUALTY_CLASS,SEX_OF_CASUALTY,AGE_OF_CASUALTY,CASUALTY_SEVERITY,VEHICLE_1,VEHICLE_2,VEHICLE_3,VEHICLE_4,VEHICLE_5,VEHICLE_6,VEHICLE_7,VEHICLE_8,VEHICLE_9,VEHICLE_10
1416521,2,03/03/2024,1305,3,1,1,1,1,1,1,45,3,9,9,0,0,0,0,0,0,0,0
1416540,1,03/03/2024,1108,3,2,1,1,1,1,1,27,2,5,0,0,0,0,0,0,0,0,0
1416554,2,03/03/2024,1708,4,1,1,1,1,1,1,65,3,9,19,0,0,0,0,0,0,0,0
1416554,2,03/03/2024,1708,4,1,1,1,2,1,2,37,3,9,19,0,0,0,0,0,0,0,0
1416800,1,04/03/2024,1109,6,1,1,1,1,1,1,36,2,9,0,0,0,0,0,0,0,0,0
1416849,1,02/03/2024,1545,4,1,1,1,1,3,2,18,3,9,0,0,0,0,0,0,0,0,0
1416892,2,04/03/2024,1,6,1,4,1,1,1,1,19,3,8,1,0,0,0,0,0,0,0,0
1416981,2,03/03/2024,1246,4,2,1,1,1,2,1,6,3,9,9,0,0,0,0,0,0,0,0
1416981,2,03/03/2024,1246,4,2,1,1,2,1,2,76,2,9,9,0,0,0,0,0,0,0,0
1417018,2,04/03/2024,2215,6,2,4,2,1,1,1,18,3,9,9,0,0,0,0,0,0,0,0
1417392,2,05/03/2024,1530,6,1,1,1,1,1,1,22,3,1,9,0,0,0,0,0,0,0,0
1417694,2,06/03/2024,1238,3,1,1,1,1,1,1,74,2,19,9,0,0,0,0,0,0,0,0
1417755,1,06/03/2024,804,6,2,1,2,1,3,1,12,3,9,0,0,0,0,0,0,0,0,0
1417867,3,06/03/2024,2028,3,1,4,1,1,3,1,15,3,9,9,9,0,0,0,0,0,0,0
1417889,2,06/03/2024,2335,6,2,4,1,1,1,1,60,3,9,9,0,0,0,0,0,0,0,0
1417889,2,06/03/2024,2335,6,2,4,1,2,1,2,32,3,9,9,0,0,0,0,0,0,0,0
1417889,2,06/03/2024,2335,6,2,4,1,3,2,1,27,3,9,9,0,0,0,0,0,0,0,0
1417889,2,06/03/2024,2335,6,2,4,1,4,2,1,37,3,9,9,0,0,0,0,0,0,0,0
1417905,2,06/03/2024,950,6,2,1,2,1,2,2,48,3,9,9,0,0,0,0,0,0,0,0
1417905,2,06/03/2024,950,6,2,1,2,2,1,1,75,3,9,9,0,0,0,0,0,0,0,0
1417916,2,07/03/2024,630,6,2,1,1,1,1,1,52,2,19,1,0,0,0,0,0,0,0,0
1418092,1,07/03/2024,825,6,1,1,1,1,3,1,10,3,9,0,0,0,0,0,0,0,0,0
1418148,1,06/03/2024,1426,6,1,1,1,1,3,1,57,3,9,0,0,0,0,0,0,0,0,0
1418165,1,07/03/2024,1622,3,2,1,1,1,1,1,25,3,3,0,0,0,0,0,0,0,0,0
1418340,1,07/03/2024,1805,6,1,7,1,1,3,1,12,3,9,0,0,0,0,0,0,0,0,0
1418592,2,16/02/2024,1901,1,1,4,1,1,2,2,71,3,9,9,0,0,0,0,0,0,0,0
1418634,3,08/03/2024,2332,3,1,4,1,1,2,2,25,2,9,9,9,0,0,0,0,0,0,0
1418649,2,08/03/2024,2330,4,2,4,1,1,1,2,28,3,9,9,0,0,0,0,0,0,0,0
1418649,2,08/03/2024,2330,4,2,4,1,2,2,2,25,3,9,9,0,0,0,0,0,0,0,0
