"REFERENCE_NUMBER","EASTING","NORTHING","NUMBER_OF_VEHICLES","ACCIDENT_DATE","TIME_24HR","ROAD_CLASS","ROAD_SURFACE","LIGHTING_CONDITIONS","WEATHER_CONDITIONS","CASUALTY_CLASS","CASUALTY_SEVERITY","SEX_OF_CASUALTY","AGE_OF_CASUALTY","VEHICLE_TYPE","ROAD_CLASS_CODE","ROAD_SURFACE_CODE","LIGHTING_CODE","WEATHER_CODE","CASUALTY_CLASS_CODE","CASUALTY_SEVERITY_CODE","SEX_OF_CASUALTY_CODE","AGE_OF_CASUALTY_CODE","VEHICLE_TYPE_CODE"
"2240784","435813","433195","1","04-Feb-15","1510","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Male","6","Car","6","1","1","1","3","3","1","6","9"
"22I1714","430814","438329","1","18-Feb-15","1620","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","82","Bus or coach (17 or more passenger seats)","6","1","1","1","","3","2","82","11"
"22J0348","421154","433254","1","19-Feb-15","925","B","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Serious","Male","51","Goods vehicle 3.5 tonnes mgw and under","4","1","1","1","","2","1","51","19"
"22J0379","432279","432587","3","19-Feb-15","942","A","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","40","Car","3","1","1","1","","3","1","40","9"
"22J0379","432279","432587","3","19-Feb-15","942","A","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Female","47","Car","3","1","1","1","","3","2","47","9"
"22J0379","432279","432587","3","19-Feb-15","942","A","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Female","40","Car","3","1","1","1","","3","2","40","9"
"22J0565","442162","443341","1","19-Feb-15","1204","A(M)","Flood (surface water over 3cm deep)","Daylight: street lights present","Raining without high winds","Driver/Rider","Slight","Male","39","Car","2","5","1","2","","3","1","39","9"
"22J0743","424558","439518","1","19-Feb-15","1413","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Pedestrian","Slight","Female","48","Car","6","2","1","2","3","3","2","48","9"
"22K0007","430022","435539","2","20-Feb-15","3","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver/Rider","Serious","Female","25","Pedal cycle","6","2","4","1","","2","2","25","1"
"22K0381","425654","443018","2","20-Feb-15","1010","A","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Female","40","Car","3","1","1","1","","3","2","40","9"
