"REFERENCE_NUMBER","EASTING","NORTHING","NUMBER_OF_VEHICLES","ACCIDENT_DATE","TIME_24HR","ROAD_CLASS","ROAD_SURFACE","LIGHTING_CONDITIONS","WEATHER_CONDITIONS","CASUALTY_CLASS","CASUALTY_SEVERITY","SEX_OF_CASUALTY","AGE_OF_CASUALTY","VEHICLE_TYPE","ROAD_CLASS_CODE","ROAD_SURFACE_CODE","LIGHTING_CODE","WEATHER_CODE","CASUALTY_CLASS_CODE","CASUALTY_SEVERITY_CODE","SEX_OF_CASUALTY_CODE","AGE_OF_CASUALTY_CODE","VEHICLE_TYPE_CODE"
"10AA0000097","424066","439065","2","04-Jan-10","2045","Unclassified","Frost/ Ice","Darkness: street lights present and lit","Snowing without high winds","Driver","Slight","Male","39","Car","6","","4","3","","3","1","39","9"
"10AA0000097","424066","439065","2","04-Jan-10","2045","Unclassified","Frost/ Ice","Darkness: street lights present and lit","Snowing without high winds","Driver","Slight","Female","57","Car","6","","4","3","","3","2","57","9"
"10AA0000200","429601","434670","2","04-Jan-10","1330","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Passenger","Slight","Male","19","Car","3","2","1","1","","3","1","19","9"
"10AA0000200","429601","434670","2","04-Jan-10","1330","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Passenger","Slight","Male","20","Car","3","2","1","1","","3","1","20","9"
"10BA0000020","428698","436765","3","04-Jan-10","815","Unclassified","Frost/ Ice","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","35","Pedal cycle","6","","1","1","","3","1","35","1"
"10BA0000162","431287","435025","1","04-Jan-10","920","A","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Female","17","Taxi/Private hire car","3","1","1","1","3","3","2","17","8"
"10CA0000035","432073","430377","1","04-Jan-10","1000","A","Frost/ Ice","Daylight: street lights present","Fine without high winds","Driver","Slight","Female","20","Car","3","","1","1","","3","2","20","9"
"10AA0000089","421392","445782","2","05-Jan-10","926","A","Snow","Daylight: street lights present","Snowing without high winds","Driver","Slight","Female","30","Car","3","3","1","3","","3","2","30","9"
"10AA0000089","421392","445782","2","05-Jan-10","926","A","Snow","Daylight: street lights present","Snowing without high winds","Driver","Slight","Female","46","Car","3","3","1","3","","3","2","46","9"
"10AA0000116","421491","434043","2","05-Jan-10","2015","B","Snow","Darkness: street lights present and lit","Snowing without high winds","Driver","Slight","Male","30","Car","4","3","4","3","","3","1","30","9"
"10AA0000116","421491","434043","2","05-Jan-10","2015","B","Snow","Darkness: street lights present and lit","Snowing without high winds","Driver","Slight","Female","33","Car","4","3","4","3","","3","2","33","9"
"10BA0000140","432062","436085","2","06-Jan-10","1600","Unclassified","Frost/ Ice","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","19","Car","6","","1","1","","3","1","19","9"
"10BA0000140","432062","436085","2","06-Jan-10","1600","Unclassified","Frost/ Ice","Daylight: street lights present","Fine without high winds","Passenger","Slight","Male","4","Car","6","","1","1","","3","1","4","9"
"10BA0000140","432062","436085","2","06-Jan-10","1600","Unclassified","Frost/ Ice","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","20","Car","6","","1","1","","3","2","20","9"
"10BA0000140","432062","436085","2","06-Jan-10","1600","Unclassified","Frost/ Ice","Daylight: street lights present","Fine without high winds","Passenger","Slight","Male","18","Car","6","","1","1","","3","1","18","9"
"10BA0000145","434488","435735","1","06-Jan-10","1445","Unclassified","Snow","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Female","8","Taxi/Private hire car","6","3","1","1","3","3","2","8","8"
"10BA0000133","431978","435830","3","07-Jan-10","1840","A","Frost/ Ice","Darkness: street lights present and lit","Raining without high winds","Driver","Slight","Male","59","Car","3","","4","2","","3","1","59","9"
"10BA0000133","431978","435830","3","07-Jan-10","1840","A","Frost/ Ice","Darkness: street lights present and lit","Raining without high winds","Driver","Slight","Female","23","Car","3","","4","2","","3","2","23","9"
"10AA0000122","428948","435467","2","08-Jan-10","1600","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Passenger","Slight","Male","6","Car","6","2","4","1","","3","1","6","9"
"10AA0000579","427568","434539","2","08-Jan-10","835","A","Frost/ Ice","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","60","Bus or coach (17 or more passenger seats)","3","","1","1","","3","2","60","11"
"10AA0000093","428138","435846","2","09-Jan-10","420","A","Snow","Darkness: street lights present and lit","Other","Driver","Slight","Male","40","Bus or coach (17 or more passenger seats)","3","3","4","8","","3","1","40","11"
"10AA0000151","424819","437833","1","09-Jan-10","100","A","Frost/ Ice","Darkness: street lighting unknown","Fine without high winds","Passenger","Slight","Male","30","Taxi/Private hire car","3","","7","1","","3","1","30","8"
"10BA0000123","432177","434624","2","09-Jan-10","1600","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","35","Car","6","1","1","1","","3","1","35","9"
"10BA0002363","430784","434550","1","17-Mar-10","1810","A","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Male","65","Bus or coach (17 or more passenger seats)","3","1","1","1","","3","1","65","11"
"10CA0001922","430072","433367","1","17-Mar-10","840","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Female","28","Taxi/Private hire car","6","1","1","1","3","3","2","28","8"
"10CA0001937","430411","433697","1","17-Mar-10","1327","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Male","29","Bus or coach (17 or more passenger seats)","6","1","1","1","","3","1","29","11"
"10AA0002070","425001","432199","2","18-Mar-10","845","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Male","4","Car","6","1","1","1","3","3","1","4","9"
"10AA0002072","422449","432845","2","18-Mar-10","1310","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Male","34","Car","6","1","1","1","","3","1","34","9"
"10AA0002077","429741","434519","1","18-Mar-10","1340","A","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Female","20","Car","3","1","1","1","3","3","2","20","9"
"10CA0001991","431152","431889","2","18-Mar-10","1954","A","Wet / Damp","Darkness: street lighting unknown","Raining without high winds","Driver","Slight","Male","24","M/cycle 50cc and under","3","2","7","2","","3","1","24","2"
"10CA0002111","430764","424529","3","18-Mar-10","1840","A","Dry","Darkness: street lights present and lit","Fine without high winds","Driver","Slight","Male","41","Car","3","1","4","1","","3","1","41","9"
"10AA0002078","428044","432826","1","19-Mar-10","820","B","Dry","Daylight: street lights present","Fine without high winds","Driver","Serious","Male","23","Pedal cycle","4","1","1","1","","2","1","23","1"
"10AA0002078","428044","432826","1","19-Mar-10","820","B","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Male","90","Pedal cycle","4","1","1","1","3","3","1","90","1"
"10AA0002089","420714","440961","1","19-Mar-10","2030","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver","Slight","Female","19","Car","6","2","4","1","","3","2","19","9"
"10AA0002089","420714","440961","1","19-Mar-10","2030","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Passenger","Slight","Male","20","Car","6","2","4","1","","3","1","20","9"
"10AA0002185","429577","434795","1","19-Mar-10","805","A","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Serious","Male","29","Car","3","1","1","1","3","2","1","29","9"
"10BA0002030","433833","434461","2","19-Mar-10","2210","Unclassified","Wet / Damp","Darkness: street lighting unknown","Raining with high winds","Driver","Slight","Male","23","Car","6","2","7","5","","3","1","23","9"
"10BA0002085","443332","435486","2","19-Mar-10","1800","B","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","18","Car","4","1","1","1","","3","1","18","9"
"10BA0002085","443332","435486","2","19-Mar-10","1800","B","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Female","24","Car","4","1","1","1","","3","2","24","9"
"10BA0002139","433161","435240","2","19-Mar-10","2020","Unclassified","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver","Slight","Female","19","Car","6","2","4","2","","3","2","19","9"
"10CA0002001","426313","426961","2","19-Mar-10","2350","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Driver","Slight","Male","41","Car","6","1","4","1","","3","1","41","9"
"10CA0002040","426992","427909","2","19-Mar-10","1742","Unclassified","Dry","Darkness: street lights present but unlit","Fine without high winds","Driver","Slight","Male","35","Taxi/Private hire car","6","1","5","1","","3","1","35","8"
"10MU0002003","424465","427800","2","19-Mar-10","1110","Motorway","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","64","Car","1","1","1","1","","3","1","64","9"
"10AA0002113","420437","445240","2","20-Mar-10","1110","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Driver","Slight","Male","43","Pedal cycle","6","2","1","2","","3","1","43","1"
"10BA0002068","431691","433964","2","20-Mar-10","1400","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","52","Car","6","1","1","1","","3","1","52","9"
"10MU0002002","427283","426210","2","20-Mar-10","1125","Motorway","Wet / Damp","Daylight: street lights present","Raining without high winds","Driver","Slight","Male","30","Car","1","2","1","2","","3","1","30","9"
"10MU0002002","427283","426210","2","20-Mar-10","1125","Motorway","Wet / Damp","Daylight: street lights present","Raining without high winds","Passenger","Slight","Female","18","Car","1","2","1","2","","3","2","18","9"
"10MU0002056","429418","433941","2","20-Mar-10","1500","A(M)","Wet / Damp","Daylight: street lights present","Other","Driver","Slight","Male","45","Car","2","2","1","8","","3","1","45","9"
"10MU0002056","429418","433941","2","20-Mar-10","1500","A(M)","Wet / Damp","Daylight: street lights present","Other","Passenger","Slight","Female","43","Car","2","2","1","8","","3","2","43","9"
"10MU0002056","429418","433941","2","20-Mar-10","1500","A(M)","Wet / Damp","Daylight: street lights present","Other","Passenger","Slight","Female","18","Car","2","2","1","8","","3","2","18","9"
"10BA0002081","442464","445849","2","22-Mar-10","830","A","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Female","50","Car","3","1","1","1","","3","2","50","9"
"10BA0002266","441404","449827","3","22-Mar-10","703","B","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","55","Car","4","1","1","1","","3","1","55","9"
"10CA0002074","430112","431743","1","22-Mar-10","1155","A","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","76","Bus or coach (17 or more passenger seats)","3","1","1","1","","3","2","76","11"
"10CA0002214","435794","425979","2","22-Mar-10","1557","A","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","45","Pedal cycle","3","1","1","1","","3","1","45","1"
"10CA0002341","430022","433781","2","22-Mar-10","1710","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","39","Pedal cycle","6","1","1","1","","3","1","39","1"
"10BA0002151","431597","434012","2","23-Mar-10","1640","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","48","Motorcycle over 50cc and up to 125cc","6","1","1","1","","3","1","48","3"
"10CA0002128","433549","429830","2","23-Mar-10","718","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","51","Pedal cycle","3","2","1","1","","3","1","51","1"
"10CA0002166","429701","433432","1","23-Mar-10","1705","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Pedestrian","Slight","Female","28","Car","6","2","1","2","3","3","2","28","9"
"10CA0002186","430153","432848","2","24-Mar-10","1410","A","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","76","Car","3","1","1","1","","3","2","76","9"
"10CA0002292","424177","428139","2","24-Mar-10","1905","A","Wet / Damp","Darkness: street lighting unknown","Fine without high winds","Driver","Slight","Male","83","Car","3","2","7","1","","3","1","83","9"
"10CA0002292","424177","428139","2","24-Mar-10","1905","A","Wet / Damp","Darkness: street lighting unknown","Fine without high winds","Passenger","Slight","Female","81","Car","3","2","7","1","","3","2","81","9"
"10CA0002292","424177","428139","2","24-Mar-10","1905","A","Wet / Damp","Darkness: street lighting unknown","Fine without high winds","Passenger","Slight","Female","79","Car","3","2","7","1","","3","2","79","9"
"10CA0002343","430676","434520","2","24-Mar-10","1245","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","19","Car","6","1","1","1","","3","2","19","9"
"10CA0002343","430676","434520","2","24-Mar-10","1245","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","21","Car","6","1","1","1","","3","2","21","9"
"10CA0002343","430676","434520","2","24-Mar-10","1245","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","20","Car","6","1","1","1","","3","2","20","9"
"10MU0002161","431977","426257","3","24-Mar-10","710","Motorway","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Female","23","Car","1","1","1","1","","3","2","23","9"
"10BA0002220","434945","434666","2","25-Mar-10","1510","A","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Female","35","Car","3","1","1","1","","3","2","35","9"
"10BA0002286","433161","435238","2","25-Mar-10","845","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Driver","Slight","Female","38","Car","6","2","1","2","","3","2","38","9"
"10BA0002286","433161","435238","2","25-Mar-10","845","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Passenger","Slight","Female","5","Car","6","2","1","2","","3","2","5","9"
"10CA0004794","427701","431593","2","28-Jun-10","1208","A","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","53","Car","3","1","1","1","","3","1","53","9"
"10CA0004794","427701","431593","2","28-Jun-10","1208","A","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","48","Car","3","1","1","1","","3","2","48","9"
"10CA0004796","422156","428049","2","28-Jun-10","1130","B","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Female","61","Car","4","1","1","1","","3","2","61","9"
"10MU0004732","431049","424680","1","28-Jun-10","2135","Motorway","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver","Slight","Male","38","Car","1","2","4","1","","3","1","38","9"
"10AA0004752","428840","436571","2","29-Jun-10","814","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Female","37","Car","6","1","1","1","","3","2","37","9"
"10BA0004751","430959","433407","2","29-Jun-10","1945","A","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","28","Motorcycle over 500cc","3","1","1","1","","3","1","28","5"
"10CA0004758","430846","433997","1","29-Jun-10","1350","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Serious","Male","47","Car","6","1","1","1","3","2","1","47","9"
"10CA0004770","429405","433469","2","29-Jun-10","1630","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Female","62","Car","6","1","1","1","","3","2","62","9"
"10CA0004884","428793","430526","3","29-Jun-10","1632","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","30","Car","6","1","1","1","","3","1","30","9"
"10CA0004884","428793","430526","3","29-Jun-10","1632","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","4","Car","6","1","1","1","","3","2","4","9"
"10AA0004780","427374","437138","2","30-Jun-10","830","A","Dry","Daylight: street lights present","Fine without high winds","Driver","Serious","Male","32","Pedal cycle","3","1","1","1","","2","1","32","1"
"10BA0004748","440344","432860","1","30-Jun-10","1520","B","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Female","2","Car","4","1","1","1","3","3","2","2","9"
"10BA0004839","433892","435204","2","30-Jun-10","1230","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Female","28","Car","6","1","1","1","","3","2","28","9"
"10BA0004841","437982","432919","2","30-Jun-10","959","A","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Female","41","Car","3","1","1","1","","3","2","41","9"
"10BA0004847","431401","435025","3","30-Jun-10","1315","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Serious","Female","80","Car","6","1","1","1","","2","2","80","9"
"10BA0004847","431401","435025","3","30-Jun-10","1315","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","40","Car","6","1","1","1","","3","1","40","9"
"10BA0004903","436975","433610","2","30-Jun-10","1845","A","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Female","29","Car","3","1","1","1","","3","2","29","9"
"10BA0004903","436975","433610","2","30-Jun-10","1845","A","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","7","Car","3","1","1","1","","3","2","7","9"
"10CA0004999","430977","428447","2","30-Jun-10","1040","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","21","M/cycle 50cc and under","6","1","1","1","","3","1","21","2"
"10AA0004785","423479","434610","4","01-Jul-10","1708","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","19","Car","6","1","1","1","","3","1","19","9"
"10BA0004803","430740","435058","3","01-Jul-10","1653","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","24","Car","6","1","1","1","","3","1","24","9"
"10AA0005075","427576","434802","2","02-Jul-10","1530","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","33","Car","6","1","1","1","","3","1","33","9"
"10BA0004804","432155","435617","2","02-Jul-10","1610","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","45","Car","6","1","1","1","","3","1","45","9"
"10CA0004806","430375","433531","1","02-Jul-10","1243","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Male","77","Bus or coach (17 or more passenger seats)","6","1","1","1","","3","1","77","11"
"10CA0004882","435911","425988","2","02-Jul-10","5","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver","Slight","Male","21","Car","3","2","4","2","","3","1","21","9"
"10CA0004882","435911","425988","2","02-Jul-10","5","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Passenger","Slight","Female","16","Car","3","2","4","2","","3","2","16","9"
"10CA0004882","435911","425988","2","02-Jul-10","5","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Passenger","Slight","Female","15","Car","3","2","4","2","","3","2","15","9"
"10CA0004882","435911","425988","2","02-Jul-10","5","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Passenger","Slight","Female","16","Car","3","2","4","2","","3","2","16","9"
"10AA0004802","428530","436885","2","03-Jul-10","1602","B","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Female","46","Car","4","1","1","1","","3","2","46","9"
"10AA0004928","429701","435051","2","03-Jul-10","10","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Passenger","Slight","Female","16","Car","6","1","4","1","","3","2","16","9"
"10AA0004928","429701","435051","2","03-Jul-10","10","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Passenger","Slight","Female","16","Car","6","1","4","1","","3","2","16","9"
"10AA0004928","429701","435051","2","03-Jul-10","10","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Passenger","Slight","Female","17","Car","6","1","4","1","","3","2","17","9"
"10AA0004934","422387","432648","2","03-Jul-10","1610","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","9","Pedal cycle","6","1","1","1","","3","1","9","1"
"10CA0004915","425542","426595","3","03-Jul-10","1122","B","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","12","Car","4","1","1","1","","3","2","12","9"
"10CA0004915","425542","426595","3","03-Jul-10","1122","B","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","41","Car","4","1","1","1","","3","2","41","9"
"10AA0004935","425945","434675","2","04-Jul-10","1730","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","58","Car","6","1","1","1","","3","1","58","9"
"10AA0004935","425945","434675","2","04-Jul-10","1730","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","56","Car","6","1","1","1","","3","2","56","9"
"10AA0004831","423475","434031","2","05-Jul-10","10","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Driver","Slight","Male","25","Car","6","1","4","1","","3","1","25","9"
"10AA0004831","423475","434031","2","05-Jul-10","10","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Driver","Serious","Male","63","Car","6","1","4","1","","2","1","63","9"
"10AA0004831","423475","434031","2","05-Jul-10","10","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Passenger","Slight","Female","17","Car","6","1","4","1","","3","2","17","9"
"10AA0004831","423475","434031","2","05-Jul-10","10","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Passenger","Slight","Female","17","Car","6","1","4","1","","3","2","17","9"
"10AA0004890","423881","434903","1","05-Jul-10","2030","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Male","12","Car","6","1","1","1","3","3","1","12","9"
"10BA0004881","430981","438656","3","05-Jul-10","1755","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","25","Car","6","1","1","1","","3","1","25","9"
"10BA0004896","432280","436272","2","05-Jul-10","1810","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Female","22","Pedal cycle","6","1","1","1","","3","2","22","1"
"10BA0004897","444969","428122","1","05-Jul-10","2025","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","21","Car","6","1","1","1","","3","1","21","9"
"10BA0004897","444969","428122","1","05-Jul-10","2025","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Male","21","Car","6","1","1","1","","3","1","21","9"
"10BA0006346","432212","434653","1","03-Oct-10","1500","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Pedestrian","Slight","Male","17","Car","6","2","1","2","3","3","1","17","9"
"10BA0006554","429694","437730","1","03-Oct-10","1350","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Driver","Slight","Male","42","Car","6","2","1","2","","3","1","42","9"
"10BA0006554","429694","437730","1","03-Oct-10","1350","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Passenger","Slight","Female","16","Car","6","2","1","2","","3","2","16","9"
"10BA0006554","429694","437730","1","03-Oct-10","1350","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Passenger","Serious","Male","14","Car","6","2","1","2","","2","1","14","9"
"10BA0006554","429694","437730","1","03-Oct-10","1350","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Passenger","Slight","Female","64","Car","6","2","1","2","","3","2","64","9"
"10BA0006554","429694","437730","1","03-Oct-10","1350","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Passenger","Slight","Male","71","Car","6","2","1","2","","3","1","71","9"
"10BA0006754","435310","435241","2","03-Oct-10","2200","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver","Slight","Male","26","Motorcycle over 125cc and up to 500cc","6","2","4","1","","3","1","26","4"
"10AA0006385","422028","436556","3","04-Oct-10","1615","A","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","22","Car","3","1","1","1","","3","1","22","9"
"10AA0006534","427824","436514","2","04-Oct-10","1710","B","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","30","Pedal cycle","4","1","1","1","","3","1","30","1"
"10BA0006334","435421","434797","2","04-Oct-10","1603","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","76","Car","6","1","1","1","","3","1","76","9"
"10BA0006351","437220","435742","2","04-Oct-10","705","Unclassified","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver","Slight","Female","73","Car","6","2","1","1","","3","2","73","9"
"10BA0006352","430839","439669","1","04-Oct-10","1418","A","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","75","Bus or coach (17 or more passenger seats)","3","1","1","1","","3","2","75","11"
"10MU0006629","429872","434397","3","04-Oct-10","1255","A(M)","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","61","Car","2","1","1","1","","3","1","61","9"
"10MU0006629","429872","434397","3","04-Oct-10","1255","A(M)","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","57","Car","2","1","1","1","","3","2","57","9"
"10AA0006388","428061","435959","2","05-Oct-10","1550","A","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","21","Pedal cycle","3","1","1","1","","3","1","21","1"
"10BA0006369","430898","439864","1","05-Oct-10","855","A","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Female","51","Car","3","1","1","1","3","3","2","51","9"
"10CA0006365","431012","430497","2","05-Oct-10","1630","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","17","Pedal cycle","6","1","1","1","","3","1","17","1"
"10AA0006359","425679","435068","1","06-Oct-10","756","Unclassified","Wet / Damp","Daylight: street lights present","Raining without high winds","Pedestrian","Slight","Male","13","Car","6","2","1","2","3","3","1","13","9"
"10AA0006371","421373","441010","1","06-Oct-10","1005","Unclassified","Wet / Damp","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","78","Bus or coach (17 or more passenger seats)","6","2","1","1","","3","2","78","11"
"10AA0006378","427659","436651","2","06-Oct-10","800","A","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","16","Motorcycle over 500cc","3","1","1","1","","3","1","16","5"
"10AA0006379","421885","433935","2","06-Oct-10","1430","B","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Female","41","Car","4","1","1","1","","3","2","41","9"
"10AA0006437","428434","434998","2","06-Oct-10","710","Unclassified","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver","Slight","Female","46","Car","6","2","4","2","","3","2","46","9"
"10AA0006436","425059","433369","2","07-Oct-10","1520","B","Dry","Daylight: street lights present","Fine without high winds","Driver","Serious","Male","25","Motorcycle over 50cc and up to 125cc","4","1","1","1","","2","1","25","3"
"10AA0006448","425059","433372","2","07-Oct-10","645","B","Dry","Darkness: street lights present and lit","Fine without high winds","Driver","Serious","Male","40","Pedal cycle","4","1","4","1","","2","1","40","1"
"10AA0006517","428947","435467","2","07-Oct-10","1220","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","31","Car","6","1","1","1","","3","1","31","9"
"10AA0006517","428947","435467","2","07-Oct-10","1220","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","25","Car","6","1","1","1","","3","2","25","9"
"10BA0006393","428848","437267","1","07-Oct-10","1203","B","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","80","Bus or coach (17 or more passenger seats)","4","1","1","1","","3","2","80","11"
"10AA0006447","427975","436062","2","08-Oct-10","948","A","Wet / Damp","Daylight: street lights present","Fog or mist ¿ if hazard","Driver","Slight","Male","19","Pedal cycle","3","2","1","","","3","1","19","1"
"10CA0006401","431298","430610","1","08-Oct-10","2104","Unclassified","Dry","Darkness: street lighting unknown","Fine without high winds","Pedestrian","Serious","Male","30","Car","6","1","7","1","3","2","1","30","9"
"10CA0006450","428808","434021","1","08-Oct-10","155","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Pedestrian","Serious","Male","19","Taxi/Private hire car","6","1","4","1","3","2","1","19","8"
"10CA0006408","429799","433922","2","09-Oct-10","1105","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","77","Car","6","1","1","1","","3","1","77","9"
"10CA0006625","430990","429683","1","09-Oct-10","1530","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Male","9","Car","6","1","1","1","3","3","1","9","9"
"10AA0006414","418314","441767","2","10-Oct-10","1705","A","Dry","Daylight: street lights present","Fine without high winds","Driver","Slight","Male","51","Pedal cycle","3","1","1","1","","3","1","51","1"
