Reference Number,Number of vehicles,Date,Time,Road class,Road surface description,Lighting conditions,Weather conditions,Casualty number,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,Type of vehicle 1,Type of vehicle 2,Type of vehicle 3,Type of vehicle 4,Type of vehicle 5,Type of vehicle 6,Type of vehicle 7,Type of vehicle 8,Type of vehicle 9,Type of vehicle 10
1134087,3,19/01/2022,1205,3,1,1,1,1,1,1,85,3,19,9,19,0,0,0,0,0,0,0
1134235,2,19/01/2022,0025,3,2,6,1,1,1,1,44,3,9,21,0,0,0,0,0,0,0,0
1134454,1,20/01/2022,1000,6,1,1,4,1,3,1,70,3,9,0,0,0,0,0,0,0,0,0
1134478,2,19/01/2022,1300,6,1,1,1,1,1,2,60,3,9,1,0,0,0,0,0,0,0,0
1134559,2,19/01/2022,0734,1,2,4,2,1,1,2,27,3,9,98,0,0,0,0,0,0,0,0
1134738,1,21/01/2022,0715,2,1,1,1,1,1,1,22,3,9,0,0,0,0,0,0,0,0,0
1134966,2,21/01/2022,1354,6,1,1,1,1,1,1,23,3,98,1,0,0,0,0,0,0,0,0
1134969,2,21/01/2022,1402,3,2,1,8,1,1,1,81,2,9,1,0,0,0,0,0,0,0,0
1135030,2,21/01/2022,1728,6,1,4,1,1,1,1,25,3,9,1,0,0,0,0,0,0,0,0
1135058,2,21/01/2022,1840,6,2,4,1,1,1,1,25,3,9,9,0,0,0,0,0,0,0,0
1135086,1,22/01/2022,0225,3,1,4,1,1,3,1,18,3,9,0,0,0,0,0,0,0,0,0
1135213,1,22/01/2022,1508,3,1,1,1,1,2,2,60,3,9,0,0,0,0,0,0,0,0,0
1135215,2,22/01/2022,1349,6,2,1,1,1,1,1,68,2,9,9,0,0,0,0,0,0,0,0
1135215,2,22/01/2022,1349,6,2,1,1,2,2,1,10,2,9,9,0,0,0,0,0,0,0,0
1135215,2,22/01/2022,1349,6,2,1,1,3,1,1,31,2,9,9,0,0,0,0,0,0,0,0
1135230,2,22/01/2022,1602,6,1,1,1,1,1,2,84,3,9,9,0,0,0,0,0,0,0,0
1135268,2,21/01/2022,2112,2,2,6,1,1,1,1,20,2,9,21,0,0,0,0,0,0,0,0
1135268,2,21/01/2022,2112,2,2,6,1,2,2,1,19,3,9,21,0,0,0,0,0,0,0,0
1135409,3,19/01/2022,2217,4,1,4,1,1,1,1,38,3,9,9,9,0,0,0,0,0,0,0
1135504,2,24/01/2022,0040,3,2,4,1,1,1,1,50,3,19,9,0,0,0,0,0,0,0,0
1135504,2,24/01/2022,0040,3,2,4,1,2,2,1,18,3,19,9,0,0,0,0,0,0,0,0
1135635,2,24/01/2022,0855,6,2,1,1,1,1,1,56,2,9,5,0,0,0,0,0,0,0,0
1135874,2,24/01/2022,1158,1,1,1,1,1,1,1,80,3,21,9,0,0,0,0,0,0,0,0
1135874,2,24/01/2022,1158,1,1,1,1,2,2,2,80,3,21,9,0,0,0,0,0,0,0,0
1135930,3,23/01/2022,1705,3,1,4,1,1,1,1,22,3,9,9,9,0,0,0,0,0,0,0
1135938,2,24/01/2022,1840,6,1,4,1,1,1,1,39,3,11,1,0,0,0,0,0,0,0,0
1135948,2,24/01/2022,1723,3,1,6,1,1,1,2,33,3,9,9,0,0,0,0,0,0,0,0
1135948,2,24/01/2022,1723,3,1,6,1,2,1,2,23,3,9,9,0,0,0,0,0,0,0,0
1135949,2,24/01/2022,1727,6,1,4,1,1,1,2,41,3,9,9,0,0,0,0,0,0,0,0
1135958,1,24/01/2022,2055,6,1,6,1,1,2,2,17,2,9,0,0,0,0,0,0,0,0,0
1136453,2,25/01/2022,1957,6,2,4,1,1,1,2,54,3,9,1,0,0,0,0,0,0,0,0
1136766,1,26/01/2022,1220,6,1,1,1,1,3,2,20,3,9,0,0,0,0,0,0,0,0,0
1137062,1,20/01/2022,1745,6,2,7,9,1,3,1,28,2,9,0,0,0,0,0,0,0,0,0
1137216,2,27/01/2022,0920,3,2,5,1,1,3,1,40,3,9,1,0,0,0,0,0,0,0,0
1137379,1,27/01/2022,1528,6,1,4,1,1,3,1,4,3,9,0,0,0,0,0,0,0,0,0
1137552,2,27/01/2022,1500,6,1,1,1,1,1,1,36,3,9,1,0,0,0,0,0,0,0,0
1137682,1,13/01/2022,1022,3,1,1,9,1,3,1,75,3,9,0,0,0,0,0,0,0,0,0
1137705,3,28/01/2022,1215,3,1,1,1,1,2,1,1,3,9,19,9,0,0,0,0,0,0,0
1137705,3,28/01/2022,1215,3,1,1,1,2,2,2,41,3,9,19,9,0,0,0,0,0,0,0
1137705,3,28/01/2022,1215,3,1,1,1,3,1,1,28,3,9,19,9,0,0,0,0,0,0,0
1137705,3,28/01/2022,1215,3,1,1,1,4,2,1,2,2,9,19,9,0,0,0,0,0,0,0
1137713,2,28/01/2022,0715,3,2,5,7,1,1,1,48,1,19,1,0,0,0,0,0,0,0,0
1137740,1,28/01/2022,1636,3,2,4,1,1,3,2,14,3,9,0,0,0,0,0,0,0,0,0
1137773,4,28/01/2022,1945,3,2,4,1,1,2,2,28,3,9,9,9,9,0,0,0,0,0,0
1137773,4,28/01/2022,1945,3,2,4,1,2,1,1,42,3,9,9,9,9,0,0,0,0,0,0
1137773,4,28/01/2022,1945,3,2,4,1,3,2,2,2,3,9,9,9,9,0,0,0,0,0,0
1137803,2,28/01/2022,1727,6,1,4,8,1,1,1,40,3,9,1,0,0,0,0,0,0,0,0
1137808,2,27/01/2022,1928,6,1,4,1,1,1,1,32,3,9,9,0,0,0,0,0,0,0,0
1137808,2,27/01/2022,1928,6,1,4,1,2,1,1,24,3,9,9,0,0,0,0,0,0,0,0
1137808,2,27/01/2022,1928,6,1,4,1,3,2,1,30,2,9,9,0,0,0,0,0,0,0,0
1137808,2,27/01/2022,1928,6,1,4,1,4,2,1,33,3,9,9,0,0,0,0,0,0,0,0
1137981,1,29/01/2022,1412,6,1,1,4,1,3,2,51,2,9,0,0,0,0,0,0,0,0,0
1137984,2,29/01/2022,1210,6,1,1,4,1,1,1,60,3,9,98,0,0,0,0,0,0,0,0
1138027,1,29/01/2022,1851,6,1,4,4,1,3,2,57,3,9,0,0,0,0,0,0,0,0,0
1138126,3,11/01/2022,1926,6,1,4,1,1,1,1,21,3,9,9,9,0,0,0,0,0,0,0
1138403,1,31/01/2022,1208,6,1,1,1,1,3,2,84,3,9,0,0,0,0,0,0,0,0,0
1138607,2,31/01/2022,1530,6,1,1,1,1,1,1,70,2,9,1,0,0,0,0,0,0,0,0
1138644,1,01/02/2022,0435,3,1,4,4,1,1,1,99,3,9,0,0,0,0,0,0,0,0,0
1138670,2,31/01/2022,1447,6,1,1,1,1,1,2,22,2,90,9,0,0,0,0,0,0,0,0
1139492,2,14/01/2022,1328,6,1,1,1,1,1,1,82,2,9,9,0,0,0,0,0,0,0,0
1139492,2,14/01/2022,1328,6,1,1,1,2,2,2,80,3,9,9,0,0,0,0,0,0,0,0
1139529,1,02/02/2022,1935,3,1,5,1,1,1,1,54,3,9,0,0,0,0,0,0,0,0,0
1139530,1,02/02/2022,1600,6,1,1,1,1,3,1,9,3,9,0,0,0,0,0,0,0,0,0
1139548,2,31/01/2022,1742,3,1,4,1,1,1,2,28,3,1,1,0,0,0,0,0,0,0,0
1139675,2,31/01/2022,1430,3,1,1,1,1,1,1,16,3,9,1,0,0,0,0,0,0,0,0
1139855,1,31/01/2022,2347,6,2,4,1,1,3,1,24,3,9,0,0,0,0,0,0,0,0,0
