Reference Number,Number of vehicles,Date,Time,Road class,Road surface description,Lighting conditions,Weather conditions,Casualty number,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,Type of vehicle 1,Type of vehicle 2,Type of vehicle 3,Type of vehicle 4,Type of vehicle 5,Type of vehicle 6,Type of vehicle 7,Type of vehicle 8,Type of vehicle 9,Type of vehicle 10
1266167,1,20/01/2023,1736,3,1,4,1,1,3,1,13,3,19,0,0,0,0,0,0,0,0,0
1266169,2,20/01/2023,1620,3,2,4,1,1,1,2,25,3,9,9,0,0,0,0,0,0,0,0
1266170,1,20/01/2023,1535,6,1,1,1,1,2,1,13,3,11,0,0,0,0,0,0,0,0,0
1266174,2,18/01/2023,1142,3,4,1,1,1,1,1,51,3,21,20,0,0,0,0,0,0,0,0
1266334,3,21/01/2023,1222,6,2,1,7,1,1,1,18,2,3,9,19,0,0,0,0,0,0,0
1266334,3,21/01/2023,1222,6,2,1,7,2,2,1,15,2,3,9,19,0,0,0,0,0,0,0
1266369,2,21/01/2023,1422,3,2,1,1,1,1,1,27,3,9,9,0,0,0,0,0,0,0,0
1266393,2,21/01/2023,1522,3,2,1,7,1,2,2,86,3,9,9,0,0,0,0,0,0,0,0
1266393,2,21/01/2023,1522,3,2,1,7,2,1,2,52,2,9,9,0,0,0,0,0,0,0,0
1266408,2,17/01/2023,1545,3,1,4,1,1,1,1,49,2,9,9,0,0,0,0,0,0,0,0
1266409,2,10/01/2023,0815,3,2,4,2,1,1,1,54,3,9,1,0,0,0,0,0,0,0,0
1266441,2,04/01/2023,1130,6,2,1,8,1,1,2,68,2,9,9,0,0,0,0,0,0,0,0
1266441,2,04/01/2023,1130,6,2,1,8,2,2,2,35,2,9,9,0,0,0,0,0,0,0,0
1266441,2,04/01/2023,1130,6,2,1,8,3,1,1,44,2,9,9,0,0,0,0,0,0,0,0
1266441,2,04/01/2023,1130,6,2,1,8,4,2,2,18,2,9,9,0,0,0,0,0,0,0,0
1266441,2,04/01/2023,1130,6,2,1,8,5,2,2,40,2,9,9,0,0,0,0,0,0,0,0
1266480,1,21/01/2023,2355,3,4,4,7,1,3,2,29,2,9,0,0,0,0,0,0,0,0,0
1266515,1,22/01/2023,0849,6,2,1,8,1,1,1,56,3,9,0,0,0,0,0,0,0,0,0
1266517,1,20/01/2023,1455,6,1,1,1,1,2,1,28,3,9,0,0,0,0,0,0,0,0,0
1266629,1,21/01/2023,2230,6,1,4,1,1,2,2,19,3,9,0,0,0,0,0,0,0,0,0
1266992,2,23/01/2023,0653,3,2,4,8,1,1,2,29,3,1,9,0,0,0,0,0,0,0,0
1267027,3,23/01/2023,1334,6,2,1,1,1,1,1,75,3,9,9,9,0,0,0,0,0,0,0
1267027,3,23/01/2023,1334,6,2,1,1,2,2,2,2,3,9,9,9,0,0,0,0,0,0,0
1267049,1,23/01/2023,1739,6,1,4,1,1,3,1,32,2,9,0,0,0,0,0,0,0,0,0
1267054,2,23/01/2023,1700,3,2,4,1,1,1,1,60,3,1,9,0,0,0,0,0,0,0,0
1267085,2,23/01/2023,1744,3,1,4,1,1,1,1,26,3,9,9,0,0,0,0,0,0,0,0
1267407,1,23/01/2023,1300,6,1,1,1,1,3,1,28,3,1,0,0,0,0,0,0,0,0,0
1267481,1,24/01/2023,1325,6,2,1,1,1,3,2,48,3,9,0,0,0,0,0,0,0,0,0
